Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
5,0.3950068950653076,0.2920045852661133,0.21000409126281738,0.14400410652160645,0.5120067596435547
6,0.2770047187805176,0.2180023193359375,0.23900294303894043,0.18500351905822754,0.4410057067871094
7,0.2790055274963379,0.15600156784057617,0.21300244331359863,0.1710035800933838,0.4380059242248535
8,0.26700568199157715,0.12500286102294922,0.22800469398498535,0.13216567039489746,0.4539988040924072
9,0.2798905372619629,0.13000082969665527,0.22300171852111816,0.12292265892028809,0.5461888313293457
10,0.3090026378631592,0.13600444793701172,0.3520064353942871,0.10800623893737793,0.4700009822845459
11,0.19300127029418945,0.11200094223022461,0.27300405502319336,0.08700203895568848,0.34400343894958496
15,0.22000360488891602,0.03900027275085449,0.22800302505493164,0.04199981689453125,0.33301734924316406
19,0.2030017375946045,0.03800010681152344,0.1470017433166504,0.039997100830078125,0.270003080368042
23,0.08699989318847656,0.04500246047973633,0.14400172233581543,0.04500150680541992,0.2700002193450928
27,0.08400225639343262,0.04099917411804199,0.15500211715698242,0.03899884223937988,0.26000285148620605
