CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.671875 1688712701.4329
MEM 17.167969 1688712701.5340
MEM 25.636719 1688712701.6350
MEM 31.816406 1688712701.7359
MEM 37.007812 1688712701.8369
MEM 43.621094 1688712701.9380
MEM 49.601562 1688712702.0389
MEM 60.367188 1688712702.1399
MEM 69.042969 1688712702.2410
MEM 78.023438 1688712702.3420
MEM 85.839844 1688712702.4429
MEM 86.019531 1688712702.5439
MEM 86.019531 1688712702.6449
MEM 86.019531 1688712702.7459
MEM 86.019531 1688712702.8469
MEM 86.019531 1688712702.9479
MEM 86.019531 1688712703.0489
MEM 86.019531 1688712703.1499
MEM 86.023438 1688712703.2509
MEM 86.042969 1688712703.3519
MEM 86.046875 1688712703.4529
MEM 86.074219 1688712703.5534
MEM 86.074219 1688712703.6545
MEM 86.265625 1688712703.7552
MEM 86.265625 1688712703.8559
MEM 86.437500 1688712703.9570
MEM 86.457031 1688712704.0571
MEM 86.457031 1688712704.1579
MEM 86.457031 1688712704.2582
MEM 86.460938 1688712704.3592
MEM 86.460938 1688712704.4600
MEM 86.609375 1688712704.5610
MEM 86.613281 1688712704.6620
MEM 86.613281 1688712704.7630
MEM 86.613281 1688712704.8640
MEM 86.617188 1688712704.9650
MEM 86.621094 1688712705.0660
MEM 86.621094 1688712705.1670
MEM 86.621094 1688712705.2680
MEM 86.621094 1688712705.3690
MEM 86.621094 1688712705.4700
MEM 86.621094 1688712705.5710
MEM 86.621094 1688712705.6720
MEM 86.621094 1688712705.7730
MEM 86.621094 1688712705.8740
MEM 86.621094 1688712705.9750
MEM 86.621094 1688712706.0760
MEM 86.621094 1688712706.1770
MEM 86.621094 1688712706.2780
MEM 86.621094 1688712706.3791
MEM 86.621094 1688712706.4795
MEM 86.621094 1688712706.5806
MEM 86.621094 1688712706.6818
MEM 86.621094 1688712706.7835
MEM 86.621094 1688712706.8836
MEM 86.621094 1688712706.9845
MEM 86.621094 1688712707.0856
MEM 86.621094 1688712707.1866
MEM 86.621094 1688712707.2875
MEM 86.621094 1688712707.3885
MEM 86.621094 1688712707.4895
MEM 86.621094 1688712707.5905
MEM 86.621094 1688712707.6915
MEM 86.621094 1688712707.7921
MEM 86.621094 1688712707.8925
MEM 86.621094 1688712707.9935
MEM 86.621094 1688712708.0945
MEM 86.621094 1688712708.1955
MEM 86.621094 1688712708.2965
MEM 86.621094 1688712708.3975
MEM 86.621094 1688712708.4985
MEM 86.621094 1688712708.5995
MEM 86.621094 1688712708.7005
MEM 86.621094 1688712708.8016
MEM 86.621094 1688712708.9019
MEM 86.621094 1688712709.0024
MEM 86.621094 1688712709.1036
MEM 86.621094 1688712709.2046
MEM 86.621094 1688712709.3057
MEM 86.621094 1688712709.4059
MEM 86.621094 1688712709.5069
MEM 86.621094 1688712709.6076
MEM 86.625000 1688712709.7086
MEM 86.625000 1688712709.8096
MEM 86.625000 1688712709.9098
MEM 86.625000 1688712710.0104
MEM 86.625000 1688712710.1110
MEM 86.625000 1688712710.2120
MEM 86.625000 1688712710.3127
