CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe mainM.py
MEM 2.140625 1689743525.8221
MEM 15.281250 1689743525.9231
MEM 24.343750 1689743526.0241
MEM 30.593750 1689743526.1331
MEM 35.050781 1689743526.2341
MEM 39.402344 1689743526.3351
MEM 44.535156 1689743526.4361
MEM 51.085938 1689743526.5371
MEM 59.398438 1689743526.6381
MEM 66.535156 1689743526.7396
MEM 76.160156 1689743526.8406
MEM 80.449219 1689743526.9411
MEM 84.312500 1689743527.0417
MEM 84.500000 1689743527.1427
MEM 85.300781 1689743527.2437
MEM 85.378906 1689743527.3448
MEM 85.378906 1689743527.4457
MEM 85.433594 1689743527.5467
MEM 85.445312 1689743527.6593
MEM 85.457031 1689743527.7603
MEM 85.484375 1689743527.8608
MEM 85.496094 1689743527.9612
MEM 85.507812 1689743528.0622
MEM 85.585938 1689743528.1632
MEM 85.585938 1689743528.2635
MEM 85.585938 1689743528.3644
MEM 85.585938 1689743528.4654
MEM 85.585938 1689743528.5659
MEM 85.585938 1689743528.6668
MEM 85.585938 1689743528.7671
MEM 85.585938 1689743528.8683
MEM 85.585938 1689743528.9692
MEM 85.585938 1689743529.0704
MEM 85.585938 1689743529.1709
MEM 85.585938 1689743529.2713
MEM 85.593750 1689743529.3743
MEM 85.593750 1689743529.4753
MEM 85.593750 1689743529.5763
MEM 85.593750 1689743529.6773
MEM 85.597656 1689743529.7784
MEM 85.597656 1689743529.8834
MEM 85.601562 1689743529.9844
